"Season","Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","wRC+","BsR","Off","Def","WAR","playerid"
"2001","Barry Bonds","Giants","153","664","73","129","137","13","26.7 %","14.0 %",".536",".266",".328",".515",".863",".537","235","1.3","118.0","-12.0","12.5","1109"
"2002","Barry Bonds","Giants","143","612","46","117","110","9","32.4 %","7.7 %",".429",".330",".370",".582",".799",".544","244","-4.1","106.0","-2.0","12.4","1109"
"2004","Barry Bonds","Giants","147","617","45","129","101","6","37.6 %","6.6 %",".450",".310",".362",".609",".812",".537","233","-2.7","103.3","-4.4","11.6","1109"
"2013","Mike Trout","Angels","157","716","27","109","97","33","15.4 %","19.0 %",".234",".376",".323",".432",".557",".423","177","8.1","70.4","3.3","10.5","10155"
"1993","Barry Bonds","Giants","159","674","46","129","123","29","18.7 %","11.7 %",".341",".321",".336",".458",".677",".467","193","1.0","78.4","1.9","10.5","1109"
"1990","Rickey Henderson","Athletics","136","594","28","119","61","65","16.3 %","10.1 %",".252",".325",".325",".439",".577",".447","190","8.8","69.4","9.3","10.2","194"
"2012","Mike Trout","Angels","139","639","30","129","83","49","10.5 %","21.8 %",".238",".383",".326",".399",".564",".409","167","12.0","62.2","13.0","10.1","10155"
"2003","Barry Bonds","Giants","130","550","45","111","90","7","26.9 %","10.5 %",".408",".304",".341",".529",".749",".503","212","-0.7","78.7","5.6","10.1","1109"
"1990","Barry Bonds","Pirates","151","621","33","104","114","52","15.0 %","13.4 %",".264",".301",".301",".406",".565",".420","165","5.0","52.3","21.5","9.9","1109"
"2003","Albert Pujols","Cardinals","157","685","43","137","124","5","11.5 %","9.5 %",".308",".346",".359",".439",".667",".461","184","6.5","80.7","-5.4","9.6","1177"
"1992","Barry Bonds","Pirates","140","612","34","109","103","39","20.8 %","11.3 %",".313",".300",".311",".456",".624",".459","198","4.6","70.0","-0.4","9.6","1109"
"1996","Barry Bonds","Giants","158","675","42","122","129","40","22.4 %","11.3 %",".308",".289",".308",".461",".615",".446","179","4.6","72.1","3.5","9.2","1109"
"2001","Luis Gonzalez","Diamondbacks","162","728","57","128","142","1","13.7 %","11.4 %",".363",".297",".325",".429",".688",".454","173","-0.3","69.5","-2.3","8.9","55"
"1997","Barry Bonds","Giants","159","690","40","123","101","37","21.0 %","12.6 %",".293",".280",".291",".446",".585",".430","165","4.0","61.2","6.9","8.9","1109"
"2000","Darin Erstad","Angels","157","747","25","121","100","28","8.6 %","11.0 %",".186",".375",".355",".409",".541",".408","140","2.0","42.2","22.2","8.7","11"
"1998","Barry Bonds","Giants","156","697","37","120","122","28","18.7 %","13.2 %",".306",".303",".303",".438",".609",".434","170","0.4","62.0","3.1","8.5","1109"
"2010","Josh Hamilton","Rangers","133","571","32","95","100","8","7.5 %","16.6 %",".274",".390",".359",".411",".633",".445","175","5.1","55.6","5.9","8.4","1875"
"1991","Barry Bonds","Pirates","153","634","25","95","116","43","16.9 %","11.5 %",".222",".292",".292",".410",".514",".396","155","3.4","43.0","11.4","7.8","1109"
"1995","Barry Bonds","Giants","144","635","33","109","104","31","18.9 %","13.1 %",".283",".294",".294",".431",".577",".425","163","1.7","52.2","5.5","7.7","1109"
"2000","Barry Bonds","Giants","143","607","49","129","106","11","19.3 %","12.7 %",".381",".271",".306",".440",".688",".456","174","0.9","62.3","-0.9","7.6","1109"
"1996","Bernard Gilkey","Mets","153","656","30","108","117","17","11.1 %","19.1 %",".245",".356",".317",".393",".562",".405","152","-0.8","42.4","16.4","7.6","1004706"
"2012","Ryan Braun","Brewers","154","677","41","108","112","30","9.3 %","18.9 %",".276",".346",".319",".391",".595",".413","160","3.7","51.9","-2.3","7.4","3410"
"2010","Carl Crawford","Rays","154","663","19","110","90","47","6.9 %","15.7 %",".188",".342",".307",".356",".495",".369","134","10.9","37.9","11.1","7.4","1201"
"2007","Matt Holliday","Rockies","158","713","36","120","137","11","8.8 %","17.7 %",".267",".377",".340",".405",".607",".428","151","6.4","53.3","-2.6","7.2","1873"
"1996","Ellis Burks","Rockies","156","685","40","142","128","32","8.9 %","16.6 %",".295",".371",".344",".408",".639",".443","151","3.5","47.6","7.1","7.2","372"
"2011","Ryan Braun","Brewers","150","629","33","109","111","33","9.2 %","14.8 %",".265",".350",".332",".397",".597",".426","171","7.0","58.8","-10.5","7.2","3410"
"1995","Albert Belle","Indians","143","631","50","121","126","5","11.6 %","12.7 %",".374",".293",".317",".401",".690",".456","173","0.0","60.2","-7.6","7.2","1000802"
"1998","Albert Belle","White Sox","163","706","49","113","152","6","11.5 %","11.9 %",".327",".308",".328",".399",".655",".437","165","-0.6","58.9","-10.5","7.1","1000802"
"2001","Lance Berkman","Astros","156","688","34","110","126","7","13.4 %","17.6 %",".289",".367",".331",".430",".620",".440","164","-2.5","55.4","-7.8","6.8","548"
"1998","Moises Alou","Astros","159","679","38","104","124","11","12.4 %","12.8 %",".271",".310",".312",".399",".582",".415","158","0.9","50.9","-2.9","6.8","261"
"2002","Brian Giles","Pirates","153","644","38","95","103","15","21.0 %","11.5 %",".324",".282",".298",".450",".622",".444","174","-0.1","59.3","-12.8","6.7","990"
"2007","Alfonso Soriano","Cubs","135","617","33","97","70","19","5.0 %","21.1 %",".261",".334",".299",".337",".560",".378","122","1.9","19.6","27.9","6.6","847"
"2011","Alex Gordon","Royals","151","690","23","101","87","17","9.7 %","20.1 %",".200",".358",".303",".376",".502",".382","140","4.1","36.1","4.1","6.6","5209"
"1999","Luis Gonzalez","Diamondbacks","153","693","26","112","111","9","9.5 %","9.1 %",".213",".340",".336",".403",".549",".408","137","-0.4","34.3","11.8","6.6","55"
"2000","Gary Sheffield","Dodgers","141","612","43","105","109","4","16.5 %","11.6 %",".317",".305",".325",".438",".643",".451","173","-1.9","59.3","-9.0","6.6","114"
"2001","Cliff Floyd","Marlins","149","629","31","123","103","18","9.4 %","16.1 %",".261",".339",".317",".390",".578",".400","146","2.3","40.0","5.4","6.5","518"
"2000","Brian Giles","Pirates","156","688","35","111","123","6","16.6 %","10.0 %",".279",".305",".315",".432",".594",".430","153","1.3","51.2","-5.7","6.3","990"
"2010","Matt Holliday","Cardinals","158","675","28","95","103","9","10.2 %","13.8 %",".220",".331",".312",".390",".532",".397","149","-1.4","38.6","0.3","6.2","1873"
"2003","Lance Berkman","Astros","153","658","25","110","93","5","16.3 %","16.4 %",".227",".319",".288",".412",".515",".397","139","1.5","34.1","6.0","6.1","548"
"1994","Barry Bonds","Giants","112","474","37","89","81","29","15.6 %","9.1 %",".335",".271",".312",".426",".647",".442","173","1.8","46.3","0.1","6.0","1109"
